,gpu,gpu_point
380,Radeon HD8970M,3369
381,Radeon E8870PCIe,3368
382,GRID P40-2B,3354
383,GRID M10-1Q,3351
384,GeForce GTX 590,3339
385,Quadro M1200,3320
386,GeForce GTX 650 Ti BOOST,3308
387,Radeon R9 M290X,3280
388,Quadro P600,3254
389,GeForce 770M,3246
390,NVS 310,3242
391,GRID M10-4Q,3224
392,Quadro K5100M,3222
393,Radeon R9 M485X,3204
394,GRID M60-4Q,3189
395,Radeon R9 260,3182
396,Radeon RX 560X,3181
397,GeForce GTX 680M,3167
398,RadeonT RX 5500M,3166
399,FirePro V7000,3162
400,FirePro W7170M,3162
401,Radeon Pro 555,3141
402,Radeon R7 260X,3137
403,Tesla C2075,3118
404,Radeon RX Vega Ryzen 5 5600G,3116
405,Radeon Pro 455,3113
406,GeForce GTX 470,3110
407,Tesla C2070,3101
408,Intel G35 Express,3090
409,Radeon HD 7790,3090
410,Radeon R7 360,3045
411,GeForce GTX 560 Ti,3036
412,Radeon R9 360,3032
413,GeForce GTX 860M,3022
414,Radeon R9 M390X,3021
415,Radeon HD 6990,3013
416,FirePro W5000,2999
417,Radeon Ryzen 7 5700GE,2964
418,FirePro W5100,2957
419,GRID K260Q,2949
420,Quadro M1000M,2942
421,Radeon Ryzen 9 5900HX,2924
422,Radeon R9 M380,2904
423,Radeon R7 260,2892
424,Ryzen 7 PRO 4700G with Radeon Graphics,2880
425,Radeon Pro V340 MxGPU,2853
426,GeForce MX350,2850
427,Quadro K1200,2842
428,GRID K280Q,2840
429,Radeon HD 6970,2828
430,FirePro 3D V9800,2812
431,GeForce GTX 770M,2800
432,FirePro W4300,2799
433,Ryzen 7 5800H with Radeon Graphics,2798
434,Radeon Ryzen 7 5700G,2788
435,Quadro M620,2784
436,Ryzen 9 5900HX with Radeon Graphics,2782
437,Radeon Ryzen 9 5900H,2755
438,Intel Iris Xe,2742
439,Quadro K5000M,2739
440,GRID K2,2737
441,FirePro S7150,2727
442,FirePro V9800,2727
443,Radeon Pro 450,2723
444,Ryzen 7 5700G with Radeon Graphics,2718
445,Ryzen 9 4900H with Radeon Graphics,2714
446,GeForce GTX 560,2709
447,Radeon RX 550,2705
448,Barco MXRT 5500,2702
449,Quadro K4000,2700
450,Quadro 6000,2699
451,GeForce GTX 465,2684
452,Ryzen 7 Pro 4750G with Radeon Graphics,2682
453,Ryzen 7 5700GE with Radeon Graphics,2675
454,Quadro K4100M,2670
455,Radeon Ryzen 7 5800H,2669
456,FirePro M6100 FireGL V,2656
457,Ryzen 5 5600G with Radeon Graphics,2654
458,FirePro R5000,2647
459,Radeon HD 6950,2641
460,MONSTER GeForce GTX 675M,2637
461,Ryzen 7 PRO 5750GE with Radeon Graphics,2627
462,Radeon Ryzen 7 PRO 5750GE,2620
463,Radeon Ryzen 9 4900H,2613
464,Radeon Pro WX 3100,2609
465,GRID M10-8Q,2606
466,Radeon Ryzen 7 PRO 4750G,2605
467,Ryzen 5 5600GE with Radeon Graphics,2602
468,GeForce GTX 950M,2599
469,Radeon Ryzen 5 4600H,2598
470,Ryzen 7 PRO 5750G with Radeon Graphics,2591
471,Intel UHD Graphics 770,2588
472,Radeon Ryzen 7 4700GE,2579
473,GeForce GTX 850M,2565
474,Radeon Ryzen 7 4700G,2564
475,Radeon Ryzen 5 5600G,2552
476,Ryzen 7 PRO 4750GE with Radeon Graphics,2550
477,Custom GPU 0405,2546
478,GRID K240Q,2541
479,Radeon Pro Ryzen 5 PRO 5650U,2540
480,GeForce GTX 650 Ti,2540
481,Radeon HD 6850 X2,2534
482,Ryzen 9 5980HS with Radeon Graphics,2534
483,GeForce GT 1030,2529
484,FireStream 9370,2528
485,N18E-Q1,2525
486,Ryzen 5 PRO 5650G with Radeon Graphics,2522
487,GeForce MX330,2518
488,Radeon Ryzen 5 5600H,2502
489,GeForce GTX 950A,2499
490,GeForce MX250,2499
491,Ryzen 7 4700GE with Radeon Graphics,2496
492,Radeon Ryzen 3 PRO 5350GE,2480
493,Radeon Pro WX 3200,2473
494,Ryzen 5 PRO 5650GE with Radeon Graphics,2471
495,Barco MXRT 5600,2466
496,Ryzen 7 PRO 5850U with Radeon Graphics,2450
497,Radeon HD 8950,2444
498,FirePro 3D V8800,2438
499,GRID M10-2B,2417
500,Intel UHD Graphics P630,2416
501,GeForce GTX 960A,2411
502,Ryzen 7 5800U with Radeon Graphics,2410
503,Ryzen 3 4300GE with Radeon Graphics,2402
504,Radeon RX Vega 11 PRD,2402
505,Ryzen 5 Pro 4650G with Radeon Graphics,2395
506,Ryzen 5 5600H with Radeon Graphics,2387
507,Ryzen 3 5300GE with Radeon Graphics,2386
508,Radeon Ryzen 5 PRO 5650GE,2383
509,Radeon RX 550X,2366
510,GeForce GTX 485M,2360
511,Radeon Ryzen 5 PRO 4650G,2359
512,Ryzen 7 4800U with Radeon Graphics,2344
513,Ryzen 3 PRO 5350G with Radeon Graphics,2341
514,Radeon Pro Ryzen 7 PRO 5850U,2341
515,Ryzen 3 PRO 5350GE with Radeon Graphics,2341
516,GeForce GTX 675MX,2338
517,Radeon Ryzen 7 5800U,2338
518,Radeon Ryzen 3 4300GE,2314
519,GRID M10-1B,2310
520,Ryzen 5 PRO 4400G with Radeon Graphics,2306
521,FirePro V7900,2305
522,Radeon Ryzen 7 PRO 5750G,2303
523,GeForce MX150,2296
524,GeForce GTX 460,2289
525,Radeon Ryzen 7 Microsoft Surface Edition,2289
526,Radeon R9 M470,2288
527,Radeon Ryzen 7 4800U,2280
528,Quadro K3100M,2276
529,Radeon HD 6970M,2270
530,Radeon R7 250X,2269
531,Radeon HD 5870,2267
532,Ryzen 7 5700U with Radeon Graphics,2262
533,Quadro K620,2245
534,Radeon HD 5970,2243
535,Ryzen 3 5300G with Radeon Graphics,2241
536,Radeon Ryzen 7 PRO 5850U,2235
537,FirePro V8800,2223
538,GRID P100-1B,2223
539,Radeon HD 6870,2215
540,Radeon Pro WX 4150,2212
541,Ryzen 5 PRO 5650U with Radeon Graphics,2199
542,Radeon Ryzen 3 PRO 4350G,2197
543,Radeon Ryzen 7 PRO 4750GE,2193
544,Radeon HD 7770,2188
545,Ryzen 7 4700G with Radeon Graphics,2187
546,RadeonT R7 450,2185
547,Ryzen 3 PRO 4350GE with Radeon Graphics,2181
548,GeForce GTX 745,2175
549,Radeon Ryzen 5 4600G,2175
550,Intel Iris Pro P580,2169
551,Radeon Ryzen 5 PRO 5650G,2165
552,Ryzen 3 Pro 4350G with Radeon Graphics,2164
553,Ryzen 7 Extreme Edition,2162
554,Ryzen 5 5600U with Radeon Graphics,2154
555,Radeon Ryzen 7 4850U Mobile,2138
556,Radeon RX Vega 11,2125
557,Quadro M600M,2114
558,Ryzen 7 4800H with Radeon Graphics,2113
559,Ryzen 5 5560U with Radeon Graphics,2109
560,Radeon TM R9 A360,2105
561,FirePro M5100,2103
562,Radeon Ryzen 5 Microsoft Surface Edition,2102
563,Quadro P520,2087
564,GeForce GTX 580M,2074
565,GRID M6-1Q,2069
566,Ryzen 5 4600G with Radeon Graphics,2062
567,Quadro 5000M,2060
568,GeForce GTX 480M,2051
569,Radeon Ryzen 7 4700U,2035
570,Ryzen 7 4700U with Radeon Graphics,2034
571,FirePro V7800,2034
572,Ryzen 7 PRO 4750U with Radeon Graphics,2030
